UniqueID;fundamental_advice;fund_advice_nrscore;uncle_stock_score;growth_score;value_score;greenblatt_score;piotroski_score;levermann_score;predictability_score;price_iv_buffett;iv_price_buf;rev_price;PL12M
92;4;4;0,74;0,62;0,56;0,47;7,42;1,52;0,77;0,55;0,55;7,38;-0,0299
93;3;3;0,64;0,58;0,56;-0,18;9,5;1,51;0,48;6,8;6,8;2,01;0,3958
94;4;4;0,67;0,59;0,46;-0,08;8,67;-3,36;0,59;0,1;0,1;0,4908;0,1719
95;4;4;0,71;0,76;0,53;0,84;7,66;1,75;0,4;39,77;39,77;0,2401;-0,1044
96;4;4;0,73;0,71;0,58;0,6;9,48;1,57;0,7;1,33;1,33;0,4823;0,1145
97;5;5;0,83;0,7;0,6;0,47;7,46;1,54;0,63;1,59;1,59;5,77;-0,4128
98;5;5;0,87;0,62;0,71;0,7;7,52;6,69;0,84;0,13;0,13;22,24;-0,0307
99;5;5;0,82;0,74;0,64;1;7,42;8,55;0,4;0,81;0,81;1,09;0,0393
100;3;3;0,58;0,55;0,43;0,09;9,52;2,63;0,3;0,38;0,38;0,353;-0,0027
101;3;3;0,62;0,63;0,51;0,53;9,43;3,58;0,83;2,51;2,51;0,7647;0,1773
102;5;5;0,87;0,8;0,7;1,47;2,24;2,56;0,82;0,2;0,2;0,63;-0,0812
103;3;3;0,62;0,64;0,51;0,4;8,5;3,72;0,5;5,29;5,29;0,8158;-0,0916
104;4;4;0,67;0,58;0,53;0,37;8,77;1,72;0,34;3,39;3,39;0,1575;-0,049
105;5;5;0,76;0,7;0,66;0,94;7,57;8,89;0,27;0,96;0,96;0,3475;-0,1295
106;5;5;0,8;0,7;0,57;0,4;7,4;4,52;0,61;1,2;1,2;1,21;0,6448
107;4;4;0,71;0,61;0,63;0,59;7,35;8,63;0,31;4,55;4,55;0,4992;-0,3078
108;4;4;0,76;0,67;0,55;0,37;8,49;0,58;0,72;1,82;1,82;0,4006;-0,1119
109;5;5;0,84;0,74;0,56;0,9;6,45;7,58;0,81;0,91;0,91;1,03;0,2947
110;4;4;0,69;0,58;0,61;0,44;8,61;3,69;0,61;1,06;1,06;1,78;0,1779
111;4;4;0,75;0,66;0,57;0,39;7,42;3,54;0,68;2,42;2,42;0,8283;0,4431
112;4;4;0,75;0,6;0,56;0,37;9,46;0,53;0,59;0,73;0,73;1,19;0,137
113;5;5;0,89;0,75;0,81;1,19;8,55;7,72;0,7;0,071;0,071;2,41;0,4207
158;5;5;0,77;0,54;0,59;0,29;7,48;7,65;0,29;0,28;0,28;0,1312;0,2349
159;4;4;0,73;0,64;0,57;0,48;9,57;4,7;0,7;0,87;0,87;0,9863;1,2797
160;4;4;0,66;0,53;0,5;0,43;8,69;3,7;0,68;55,29;55,29;0,5362;0,2653
161;5;5;0,79;0,71;0,66;0,73;7,59;8,87;0,77;2,1;2,1;2,03;0,2007
162;3;3;0,71;0,6;0,57;0,33;9,5;1,59;0,67;1,68;1,68;1,14;-0,0422
163;5;5;0,79;0,59;0,69;0,93;4,54;7,84;0,39;0,038;0,038;34,93;-0,0998
164;4;4;0,73;0,65;0,57;0,44;7,5;7,66;0,73;1,36;1,36;2,57;0,011
165;4;4;0,68;0,61;0,55;0,61;7,46;3,64;0,78;2,02;2,02;1,25;0,7038
166;5;5;0,79;0,66;0,72;1,4;8,59;7,73;0,37;1,91;1,91;4,03;0,2899
167;3;3;0,65;0,55;0,54;0,54;9,62;1,66;0,71;2,3;2,3;2,23;0,9747
168;4;4;0,73;0,59;0,62;0,55;6,44;5,62;0,67;0,67;0,67;0,6097;-0,131
169;3;3;0,68;0,69;0,52;0,42;9,64;3,68;0,75;4,05;4,05;0,9285;-0,2492
170;4;4;0,66;0,55;0,52;0,39;7,52;0,66;0,61;1,91;1,91;1,86;-0,2172
171;4;4;0,7;0,66;0,52;0,44;9,45;-1,56;0,81;1,52;1,52;1,07;0,25
172;4;4;0,68;0,71;0,53;0,7;9,46;0,58;0,78;1,43;1,43;0,7391;0,1346
173;5;5;0,77;0,55;0,55;0,39;5,34;6,58;0,52;2,16;2,16;0,2125;-0,13
174;5;5;0,77;0,71;0,62;0,86;7,43;6,64;0,69;0,31;0,31;0,7866;0,1053
175;3;3;0,64;0,58;0,5;0,34;8,45;-1,63;0,75;1,71;1,71;0,5636;-0,16
176;4;4;0,61;0,58;0,45;0,66;9,51;4,6;0,64;52,43;52,43;2,35;1,928
177;4;4;0,76;0,73;0,58;0,53;8,46;-1,53;0,64;2,86;2,86;2,69;0,0516
